=== TOP 120 - TEMPS CUMULÉ ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    259/1    0.055    0.000   16.584   16.584 {built-in method builtins.exec}
        1    0.000    0.000   16.584   16.584 main.py:1(<module>)
        1    0.000    0.000   15.962   15.962 main.py:6(main)
        1    0.000    0.000   13.015   13.015 application.py:66(run)
        1    0.000    0.000   13.015   13.015 main_window.py:119(run)
        1    0.000    0.000   13.014   13.014 ctk_tk.py:159(mainloop)
        1    0.000    0.000   11.713   11.713 __init__.py:1597(mainloop)
        1    5.915    5.915   11.713   11.713 {method 'mainloop' of '_tkinter.tkapp' objects}
53618/34761    5.481    0.000    7.031    0.000 {method 'call' of '_tkinter.tkapp' objects}
2397/1126    0.022    0.000    6.886    0.006 __init__.py:2074(__call__)
       42    0.003    0.000    3.252    0.077 __init__.py:1(<module>)
    29/16    0.000    0.000    3.025    0.189 __init__.py:1469(update_idletasks)
        1    0.000    0.000    2.947    2.947 application.py:19(__init__)
        1    0.000    0.000    2.942    2.942 main_window.py:17(__init__)
        1    0.000    0.000    2.509    2.509 main_window.py:64(_create_widgets)
     21/9    0.001    0.000    2.055    0.228 ctk_scrollbar.py:135(_draw)
        1    0.000    0.000    1.971    1.971 document_view.py:1040(on_click)
        1    0.000    0.000    1.971    1.971 workspace.py:155(wrapped)
        1    0.000    0.000    1.954    1.954 document_view.py:5047(_open_mockup)
        1    0.001    0.001    1.922    1.922 mockup_view.py:374(show)
        1    0.000    0.000    1.749    1.749 workspace.py:36(__init__)
        1    0.000    0.000    1.748    1.748 workspace.py:72(show_dashboard)
        1    0.000    0.000    1.742    1.742 dashboard_view.py:156(show)
  294/293    0.006    0.000    1.561    0.005 __init__.py:860(callit)
     1040    0.026    0.000    1.497    0.001 draw_engine.py:187(__draw_rounded_rect_with_border_font_shapes)
     1028    0.008    0.000    1.490    0.001 draw_engine.py:97(draw_rounded_rect_with_border)
   138/87    0.004    0.000    1.471    0.017 Image.py:2329(resize)
       87    1.396    0.016    1.396    0.016 {method 'resize' of 'ImagingCore' objects}
     13/6    0.000    0.000    1.385    0.231 ctk_scrollbar.py:292(set)
        2    0.000    0.000    1.327    0.664 ctk_tk.py:265(_windows_set_titlebar_color)
        2    0.000    0.000    1.325    0.663 __init__.py:1465(update)
      433    0.008    0.000    1.165    0.003 ctk_frame.py:94(_draw)
      107    0.004    0.000    1.152    0.011 ctk_button.py:184(_draw)
     7015    0.074    0.000    1.056    0.000 ctk_canvas.py:83(coords)
       51    0.002    0.000    1.045    0.020 ctk_button.py:21(__init__)
    10195    0.047    0.000    1.039    0.000 __init__.py:1802(_configure)
     1052    0.010    0.000    1.024    0.001 __init__.py:2779(__init__)
        3    0.000    0.000    0.999    0.333 ctk_scrollable_frame.py:22(__init__)
        4    0.000    0.000    0.994    0.249 ctk_scrollbar.py:17(__init__)
        3    0.004    0.001    0.986    0.329 document_view.py:2861(draw_wall)
      236    0.001    0.000    0.972    0.004 __init__.py:3360(__init__)
  617/540    0.005    0.000    0.929    0.002 ctk_base_class.py:182(_update_dimensions_event)
     7641    0.011    0.000    0.835    0.000 __init__.py:3113(itemconfigure)
      161    0.002    0.000    0.822    0.005 Image.py:1017(convert)
        1    0.000    0.000    0.816    0.816 mockup_view.py:2456(_create_ribbon)
        1    0.000    0.000    0.756    0.756 navigation.py:16(__init__)
        1    0.000    0.000    0.741    0.741 navigation.py:60(_create_menu)
        6    0.000    0.000    0.741    0.123 sidebar_button.py:17(__init__)
       64    0.005    0.000    0.708    0.011 ImageFile.py:291(load)
   1064/5    0.013    0.000    0.704    0.141 __init__.py:2796(destroy)
    411/3    0.002    0.000    0.697    0.232 ctk_base_class.py:94(destroy)
      377    0.665    0.002    0.665    0.002 {method 'decode' of 'ImagingDecoder' objects}
    272/4    0.004    0.000    0.649    0.162 <frozen importlib._bootstrap>:1349(_find_and_load)
    272/4    0.002    0.000    0.649    0.162 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     43/3    0.000    0.000    0.648    0.216 {built-in method builtins.__import__}
    258/5    0.002    0.000    0.646    0.129 <frozen importlib._bootstrap>:911(_load_unlocked)
    573/6    0.001    0.000    0.646    0.108 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.644    0.644 main_window.py:129(close)
    232/4    0.001    0.000    0.644    0.161 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.000    0.000    0.643    0.643 ctk_tk.py:88(destroy)
        1    0.000    0.000    0.643    0.643 __init__.py:2510(destroy)
      162    0.004    0.000    0.638    0.004 ctk_frame.py:17(__init__)
        1    0.000    0.000    0.610    0.610 application.py:1(<module>)
        3    0.000    0.000    0.578    0.193 dashboard_view.py:1784(_layout_now)
       44    0.009    0.000    0.556    0.013 document_view.py:2458(draw_page)
      181    0.011    0.000    0.518    0.003 ctk_label.py:25(__init__)
        3    0.009    0.003    0.511    0.170 dashboard_view.py:1930(_compose_background)
     2947    0.019    0.000    0.490    0.000 __init__.py:2985(_create)
