=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  118.180  118.180 <frozen runpy>:269(run_path)
    254/2    0.052    0.000  118.176   59.088 {built-in method builtins.exec}
        1    0.000    0.000  118.175  118.175 <frozen runpy>:91(_run_module_code)
        1    0.000    0.000  118.175  118.175 <frozen runpy>:65(_run_code)
        1    0.000    0.000  118.175  118.175 main.py:1(<module>)
        1    0.000    0.000  117.464  117.464 main.py:6(main)
        1    0.000    0.000  114.576  114.576 application.py:66(run)
        1    0.000    0.000  114.576  114.576 main_window.py:119(run)
        1    0.000    0.000  114.576  114.576 ctk_tk.py:159(mainloop)
        1    0.000    0.000  113.381  113.381 __init__.py:1597(mainloop)
        1   96.528   96.528  113.381  113.381 {method 'mainloop' of '_tkinter.tkapp' objects}
7651/4946    0.075    0.000   17.758    0.004 __init__.py:2074(__call__)
98969/65768    9.839    0.000   12.273    0.000 {method 'call' of '_tkinter.tkapp' objects}
3942/3940    0.047    0.000    6.469    0.002 __init__.py:860(callit)
    49/31    0.000    0.000    5.573    0.180 __init__.py:1469(update_idletasks)
        8    0.000    0.000    5.398    0.675 document_view.py:1040(on_click)
       41    0.003    0.000    3.983    0.097 __init__.py:1(<module>)
       10    0.013    0.001    3.911    0.391 document_view.py:2861(draw_wall)
    36/20    0.001    0.000    3.826    0.191 ctk_scrollbar.py:135(_draw)
        2    0.000    0.000    3.719    1.860 workspace.py:72(show_dashboard)
  447/253    0.012    0.000    3.431    0.014 Image.py:2329(resize)
        7    0.000    0.000    3.302    0.472 workspace.py:155(wrapped)
        7    0.000    0.000    3.225    0.461 document_view.py:5047(_open_mockup)
        2    0.001    0.001    3.217    1.609 dashboard_view.py:156(show)
      253    3.180    0.013    3.180    0.013 {method 'resize' of 'ImagingCore' objects}
        7    0.002    0.000    3.172    0.453 mockup_view.py:374(show)
        1    0.000    0.000    2.887    2.887 application.py:19(__init__)
